Title,Artists,Rank,Chart Name
Uptown Funk!,Mark Ronson Featuring Bruno Mars,1,Hot 100 Songs
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,Hot 100 Songs
Shape Of You,Ed Sheeran,3,Hot 100 Songs
Closer,The Chainsmokers Featuring Halsey,4,Hot 100 Songs
Girls Like You,Maroon 5 Featuring Cardi B,5,Hot 100 Songs
We Found Love,Rihanna Featuring Calvin Harris,6,Hot 100 Songs
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,7,Hot 100 Songs
Somebody That I Used To Know,Gotye Featuring Kimbra,8,Hot 100 Songs
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,9,Hot 100 Songs
Rolling In The Deep,Adele,10,Hot 100 Songs
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,11,Hot 100 Songs
Without Me,Halsey,12,Hot 100 Songs
Call Me Maybe,Carly Rae Jepsen,13,Hot 100 Songs
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,14,Hot 100 Songs
Perfect,Ed Sheeran,15,Hot 100 Songs
Sicko Mode,Travis Scott,16,Hot 100 Songs
All About That Bass,Meghan Trainor,17,Hot 100 Songs
Royals,Lorde,18,Hot 100 Songs
God's Plan,Drake,19,Hot 100 Songs
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,20,Hot 100 Songs
Happy,Pharrell Williams,21,Hot 100 Songs
Just The Way You Are,Bruno Mars,22,Hot 100 Songs
Rockstar,Post Malone Featuring 21 Savage,23,Hot 100 Songs
TiK ToK,Ke$ha,24,Hot 100 Songs
See You Again,Wiz Khalifa Featuring Charlie Puth,25,Hot 100 Songs
Dark Horse,Katy Perry Featuring Juicy J,26,Hot 100 Songs
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,27,Hot 100 Songs
One More Night,Maroon 5,28,Hot 100 Songs
We Are Young,fun. Featuring Janelle Monae,29,Hot 100 Songs
That's What I Like,Bruno Mars,30,Hot 100 Songs
The Hills,The Weeknd,31,Hot 100 Songs
All Of Me,John Legend,32,Hot 100 Songs
Happier,Marshmello & Bastille,33,Hot 100 Songs
Shake It Off,Taylor Swift,34,Hot 100 Songs
One Dance,Drake Featuring WizKid & Kyla,35,Hot 100 Songs
Radioactive,Imagine Dragons,36,Hot 100 Songs
Sexy And I Know It,LMFAO,37,Hot 100 Songs
Someone Like You,Adele,38,Hot 100 Songs
Counting Stars,OneRepublic,39,Hot 100 Songs
E.T.,Katy Perry Featuring Kanye West,40,Hot 100 Songs
Trap Queen,Fetty Wap,41,Hot 100 Songs
Love Yourself,Justin Bieber,42,Hot 100 Songs
Firework,Katy Perry,43,Hot 100 Songs
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",44,Hot 100 Songs
Locked Out Of Heaven,Bruno Mars,45,Hot 100 Songs
Love The Way You Lie,Eminem Featuring Rihanna,46,Hot 100 Songs
Thinking Out Loud,Ed Sheeran,47,Hot 100 Songs
Sorry,Justin Bieber,48,Hot 100 Songs
California Gurls,Katy Perry Featuring Snoop Dogg,49,Hot 100 Songs
Dynamite,Taio Cruz,50,Hot 100 Songs
Lucid Dreams,Juice WRLD,51,Hot 100 Songs
Hello,Adele,52,Hot 100 Songs
Work,Rihanna Featuring Drake,53,Hot 100 Songs
Grenade,Bruno Mars,54,Hot 100 Songs
"Hey, Soul Sister",Train,55,Hot 100 Songs
I Like It,"Cardi B, Bad Bunny & J Balvin",56,Hot 100 Songs
Wake Me Up!,Avicii,57,Hot 100 Songs
Don't Let Me Down,The Chainsmokers Featuring Daya,58,Hot 100 Songs
Havana,Camila Cabello Featuring Young Thug,59,Hot 100 Songs
OMG,Usher Featuring will.i.am,60,Hot 100 Songs
Bad Guy,Billie Eilish,61,Hot 100 Songs
Fancy,Iggy Azalea Featuring Charli XCX,62,Hot 100 Songs
Can't Feel My Face,The Weeknd,63,Hot 100 Songs
Wow.,Post Malone,64,Hot 100 Songs
Blank Space,Taylor Swift,65,Hot 100 Songs
Cheap Thrills,Sia Featuring Sean Paul,66,Hot 100 Songs
Some Nights,fun.,67,Hot 100 Songs
Need You Now,Lady Antebellum,68,Hot 100 Songs
7 Rings,Ariana Grande,69,Hot 100 Songs
Stay With Me,Sam Smith,70,Hot 100 Songs
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,71,Hot 100 Songs
Better Now,Post Malone,72,Hot 100 Songs
Roar,Katy Perry,73,Hot 100 Songs
Rude,MAGIC!,74,Hot 100 Songs
"Thank U, Next",Ariana Grande,75,Hot 100 Songs
Sugar,Maroon 5,76,Hot 100 Songs
Payphone,Maroon 5 Featuring Wiz Khalifa,77,Hot 100 Songs
Airplanes,B.o.B Featuring Hayley Williams,78,Hot 100 Songs
Psycho,Post Malone Featuring Ty Dolla $ign,79,Hot 100 Songs
Bodak Yellow (Money Moves),Cardi B,80,Hot 100 Songs
Watch Me,Silento,81,Hot 100 Songs
Can't Stop The Feeling!,Justin Timberlake,82,Hot 100 Songs
Cheerleader,OMI,83,Hot 100 Songs
Bad Romance,Lady Gaga,84,Hot 100 Songs
Stronger (What Doesn't Kill You),Kelly Clarkson,85,Hot 100 Songs
What Do You Mean?,Justin Bieber,86,Hot 100 Songs
Nice For What,Drake,87,Hot 100 Songs
Sucker,Jonas Brothers,88,Hot 100 Songs
Meant To Be,Bebe Rexha & Florida Georgia Line,89,Hot 100 Songs
Timber,Pitbull Featuring Ke$ha,90,Hot 100 Songs
Take Me To Church,Hozier,91,Hot 100 Songs
Hotline Bling,Drake,92,Hot 100 Songs
Heathens,twenty one pilots,93,Hot 100 Songs
Super Bass,Nicki Minaj,94,Hot 100 Songs
F**k You! (Forget You),CeeLo Green,95,Hot 100 Songs
Panda,Desiigner,96,Hot 100 Songs
Break Your Heart,Taio Cruz Featuring Ludacris,97,Hot 100 Songs
In My Feelings,Drake,98,Hot 100 Songs
Wrecking Ball,Miley Cyrus,99,Hot 100 Songs
Ho Hey,The Lumineers,100,Hot 100 Songs
